%time depr_battery mo_battery depr_pv mo_pv depr_wt mo_wt
0 0 0 0 0 0 0
3600 0.13698630137 0.00171232876712 0.217294520548 0.0267123287671 0.209246575342 0.0285388127854
7200 0.27397260274 0.00342465753425 0.434589041096 0.0534246575342 0.418493150685 0.0570776255708
10800 0.41095890411 0.00513698630137 0.651883561644 0.0801369863014 0.627739726027 0.0856164383562
14400 0.547945205479 0.00684931506849 0.869178082192 0.106849315068 0.83698630137 0.114155251142
18000 0.684931506849 0.00856164383562 1.08647260274 0.133561643836 1.04623287671 0.142694063927
21600 0.821917808219 0.0102739726027 1.30376712329 0.160273972603 1.25547945205 0.171232876712
25200 0.958904109589 0.0119863013699 1.52106164384 0.18698630137 1.4647260274 0.199771689498
28800 1.09589041096 0.013698630137 1.73835616438 0.213698630137 1.67397260274 0.228310502283
32400 1.23287671233 0.0154109589041 1.95565068493 0.240410958904 1.88321917808 0.256849315068
36000 1.3698630137 0.0171232876712 2.17294520548 0.267123287671 2.09246575342 0.285388127854
39600 1.50684931507 0.0188356164384 2.39023972603 0.293835616438 2.30171232877 0.313926940639
43200 1.64383561644 0.0205479452055 2.60753424658 0.320547945205 2.51095890411 0.342465753425
46800 1.78082191781 0.0222602739726 2.82482876712 0.347260273973 2.72020547945 0.37100456621
50400 1.91780821918 0.0239726027397 3.04212328767 0.37397260274 2.92945205479 0.399543378995
54000 2.05479452055 0.0256849315068 3.25941780822 0.400684931507 3.13869863014 0.428082191781
57600 2.19178082192 0.027397260274 3.47671232877 0.427397260274 3.34794520548 0.456621004566
61200 2.32876712329 0.0291095890411 3.69400684932 0.454109589041 3.55719178082 0.485159817352
64800 2.46575342466 0.0308219178082 3.91130136986 0.480821917808 3.76643835616 0.513698630137
68400 2.60273972603 0.0325342465753 4.12859589041 0.507534246575 3.97568493151 0.542237442922
72000 2.7397260274 0.0342465753425 4.34589041096 0.534246575342 4.18493150685 0.570776255708
75600 2.87671232877 0.0359589041096 4.56318493151 0.56095890411 4.39417808219 0.599315068493
79200 3.01369863014 0.0376712328767 4.78047945205 0.587671232877 4.60342465753 0.627853881279
82800 3.15068493151 0.0393835616438 4.9977739726 0.614383561644 4.81267123288 0.656392694064
86400 3.28767123288 0.041095890411 5.21506849315 0.641095890411 5.02191780822 0.684931506849
90000 3.42465753425 0.0428082191781 5.4323630137 0.667808219178 5.23116438356 0.713470319635
93600 3.56164383562 0.0445205479452 5.64965753425 0.694520547945 5.4404109589 0.74200913242
97200 3.69863013699 0.0462328767123 5.86695205479 0.721232876712 5.64965753425 0.770547945205
100800 3.83561643836 0.0479452054795 6.08424657534 0.747945205479 5.85890410959 0.799086757991
104400 3.97260273973 0.0496575342466 6.30154109589 0.774657534247 6.06815068493 0.827625570776
108000 4.1095890411 0.0513698630137 6.51883561644 0.801369863014 6.27739726027 0.856164383562
111600 4.24657534247 0.0530821917808 6.73613013699 0.828082191781 6.48664383562 0.884703196347
115200 4.38356164384 0.0547945205479 6.95342465753 0.854794520548 6.69589041096 0.913242009132
118800 4.52054794521 0.0565068493151 7.17071917808 0.881506849315 6.9051369863 0.941780821918
122400 4.65753424658 0.0582191780822 7.38801369863 0.908219178082 7.11438356164 0.970319634703
126000 4.79452054795 0.0599315068493 7.60530821918 0.934931506849 7.32363013699 0.998858447489
129600 4.93150684932 0.0616438356164 7.82260273973 0.961643835616 7.53287671233 1.02739726027
133200 5.06849315068 0.0633561643836 8.03989726027 0.988356164384 7.74212328767 1.05593607306
136800 5.20547945205 0.0650684931507 8.25719178082 1.01506849315 7.95136986301 1.08447488584
140400 5.34246575342 0.0667808219178 8.47448630137 1.04178082192 8.16061643836 1.11301369863
144000 5.47945205479 0.0684931506849 8.69178082192 1.06849315068 8.3698630137 1.14155251142
147600 5.61643835616 0.0702054794521 8.90907534247 1.09520547945 8.57910958904 1.1700913242
151200 5.75342465753 0.0719178082192 9.12636986301 1.12191780822 8.78835616438 1.19863013699
154800 5.8904109589 0.0736301369863 9.34366438356 1.14863013699 8.99760273973 1.22716894977
158400 6.02739726027 0.0753424657534 9.56095890411 1.17534246575 9.20684931507 1.25570776256
162000 6.16438356164 0.0770547945205 9.77825342466 1.20205479452 9.41609589041 1.28424657534
165600 6.30136986301 0.0787671232877 9.99554794521 1.22876712329 9.62534246575 1.31278538813
169200 6.43835616438 0.0804794520548 10.2128424658 1.25547945205 9.8345890411 1.34132420091
172800 6.57534246575 0.0821917808219 10.4301369863 1.28219178082 10.0438356164 1.3698630137
176400 6.71232876712 0.083904109589 10.6474315068 1.30890410959 10.2530821918 1.39840182648
180000 6.84931506849 0.0856164383562 10.8647260274 1.33561643836 10.4623287671 1.42694063927
183600 6.98630136986 0.0873287671233 11.0820205479 1.36232876712 10.6715753425 1.45547945205
187200 7.12328767123 0.0890410958904 11.2993150685 1.38904109589 10.8808219178 1.48401826484
190800 7.2602739726 0.0907534246575 11.516609589 1.41575342466 11.0900684932 1.51255707763
194400 7.39726027397 0.0924657534247 11.7339041096 1.44246575342 11.2993150685 1.54109589041
198000 7.53424657534 0.0941780821918 11.9511986301 1.46917808219 11.5085616438 1.5696347032
201600 7.67123287671 0.0958904109589 12.1684931507 1.49589041096 11.7178082192 1.59817351598
205200 7.80821917808 0.097602739726 12.3857876712 1.52260273973 11.9270547945 1.62671232877
208800 7.94520547945 0.0993150684932 12.6030821918 1.54931506849 12.1363013699 1.65525114155
212400 8.08219178082 0.10102739726 12.8203767123 1.57602739726 12.3455479452 1.68378995434
